,dep_delay,arr_delay,difference
42046,10.0,2.0,8.0
42047,14.0,3.0,11.0
42050,10.0,0.0,10.0
42057,42.0,45.0,-3.0
42060,2.0,-5.0,7.0
42063,33.0,4.0,29.0
42066,34.0,24.0,10.0
42069,1.0,-2.0,3.0
42070,29.0,16.0,13.0
42071,35.0,22.0,13.0
42072,49.0,73.0,-24.0
42073,32.0,16.0,16.0
42074,3.0,15.0,-12.0
42075,2.0,-8.0,10.0
42076,3.0,10.0,-7.0
42078,18.0,27.0,-9.0
42079,2.0,-4.0,6.0
42088,12.0,-1.0,13.0
42090,36.0,28.0,8.0
42092,1.0,4.0,-3.0
42093,77.0,65.0,12.0
42094,3.0,16.0,-13.0
42095,2.0,-11.0,13.0
42096,24.0,18.0,6.0
42097,17.0,-3.0,20.0
42098,138.0,134.0,4.0
42099,135.0,131.0,4.0
42102,12.0,28.0,-16.0
42103,68.0,49.0,19.0
42104,95.0,88.0,7.0
42105,160.0,164.0,-4.0
42108,40.0,47.0,-7.0
42109,114.0,98.0,16.0
42110,53.0,45.0,8.0
42111,12.0,16.0,-4.0
42112,36.0,35.0,1.0
42114,16.0,14.0,2.0
42117,1.0,-9.0,10.0
42120,3.0,-15.0,18.0
42123,23.0,11.0,12.0
42126,32.0,18.0,14.0
42130,11.0,-3.0,14.0
42131,3.0,1.0,2.0
42133,45.0,39.0,6.0
42136,2.0,-6.0,8.0
42138,179.0,157.0,22.0
42141,35.0,19.0,16.0
42142,9.0,1.0,8.0
42144,1.0,8.0,-7.0
42147,45.0,23.0,22.0
42148,1.0,-4.0,5.0
42157,37.0,15.0,22.0
42163,5.0,-17.0,22.0
42167,2.0,3.0,-1.0
42168,6.0,-4.0,10.0
42169,16.0,8.0,8.0
42170,3.0,2.0,1.0
42172,4.0,-3.0,7.0
42174,1.0,7.0,-6.0
42176,159.0,158.0,1.0
42181,5.0,2.0,3.0
42183,70.0,62.0,8.0
42185,6.0,-8.0,14.0
42186,44.0,39.0,5.0
42188,36.0,33.0,3.0
42191,3.0,5.0,-2.0
42193,13.0,10.0,3.0
42201,5.0,5.0,0.0
42202,26.0,9.0,17.0
42203,3.0,9.0,-6.0
42204,4.0,-16.0,20.0
42208,6.0,-7.0,13.0
42211,22.0,17.0,5.0
42212,15.0,6.0,9.0
42215,13.0,5.0,8.0
42219,22.0,3.0,19.0
42220,12.0,25.0,-13.0
42223,6.0,-6.0,12.0
42236,21.0,-9.0,30.0
42239,10.0,3.0,7.0
42242,8.0,0.0,8.0
42246,5.0,-4.0,9.0
42247,1.0,-8.0,9.0
42255,3.0,-3.0,6.0
42258,7.0,1.0,6.0
42260,4.0,0.0,4.0
42261,7.0,-7.0,14.0
42262,10.0,2.0,8.0
42264,17.0,10.0,7.0
42272,15.0,2.0,13.0
42276,75.0,82.0,-7.0
42281,109.0,95.0,14.0
42284,13.0,15.0,-2.0
42288,6.0,-19.0,25.0
42289,8.0,-9.0,17.0
42293,255.0,249.0,6.0
42298,35.0,43.0,-8.0
42299,32.0,29.0,3.0
42300,44.0,39.0,5.0
42303,8.0,-11.0,19.0
42304,3.0,-6.0,9.0
42305,8.0,-5.0,13.0
42307,2.0,-7.0,9.0
42310,11.0,-20.0,31.0
42312,56.0,46.0,10.0
42315,7.0,-2.0,9.0
42316,4.0,-14.0,18.0
42318,40.0,7.0,33.0
42322,162.0,265.0,-103.0
42325,199.0,178.0,21.0
42328,2.0,-14.0,16.0
42330,10.0,35.0,-25.0
42334,6.0,0.0,6.0
42338,83.0,80.0,3.0
42339,107.0,79.0,28.0
42343,7.0,7.0,0.0
42344,10.0,-20.0,30.0
42345,5.0,-19.0,24.0
42347,3.0,-13.0,16.0
42350,41.0,58.0,-17.0
42351,49.0,45.0,4.0
42356,199.0,242.0,-43.0
42357,247.0,221.0,26.0
42361,26.0,25.0,1.0
42365,1.0,2.0,-1.0
42369,91.0,75.0,16.0
42374,6.0,4.0,2.0
42378,19.0,-6.0,25.0
42387,122.0,100.0,22.0
42389,51.0,30.0,21.0
42394,273.0,257.0,16.0
42397,33.0,41.0,-8.0
42401,40.0,21.0,19.0
42402,212.0,220.0,-8.0
42403,17.0,22.0,-5.0
42411,5.0,-7.0,12.0
42416,13.0,1.0,12.0
42420,15.0,1.0,14.0
42421,5.0,-6.0,11.0
42424,62.0,48.0,14.0
42426,16.0,2.0,14.0
42429,109.0,105.0,4.0
42430,9.0,8.0,1.0
42433,31.0,34.0,-3.0
42434,94.0,91.0,3.0
42443,11.0,3.0,8.0
42444,4.0,-6.0,10.0
42446,53.0,44.0,9.0
42453,145.0,183.0,-38.0
42454,5.0,-10.0,15.0
42459,13.0,4.0,9.0
42462,19.0,6.0,13.0
42463,3.0,-1.0,4.0
42472,87.0,66.0,21.0
42474,29.0,27.0,2.0
42492,66.0,51.0,15.0
42499,141.0,138.0,3.0
42503,85.0,79.0,6.0
42505,36.0,27.0,9.0
42506,37.0,31.0,6.0
42510,19.0,20.0,-1.0
42511,56.0,44.0,12.0
42512,47.0,47.0,0.0
42513,2.0,3.0,-1.0
42515,21.0,19.0,2.0
42518,4.0,11.0,-7.0
42519,39.0,30.0,9.0
42521,3.0,-5.0,8.0
42522,39.0,36.0,3.0
42523,77.0,75.0,2.0
42524,293.0,312.0,-19.0
42525,302.0,276.0,26.0
42526,26.0,47.0,-21.0
42527,8.0,16.0,-8.0
42528,20.0,15.0,5.0
42529,9.0,-4.0,13.0
42532,7.0,-10.0,17.0
42534,18.0,-4.0,22.0
42535,22.0,12.0,10.0
42536,3.0,-6.0,9.0
42537,19.0,11.0,8.0
42539,14.0,-5.0,19.0
42541,6.0,9.0,-3.0
42545,46.0,62.0,-16.0
42547,20.0,80.0,-60.0
42548,164.0,140.0,24.0
42550,6.0,-5.0,11.0
42551,1.0,37.0,-36.0
42552,48.0,43.0,5.0
42553,5.0,-11.0,16.0
42557,14.0,-1.0,15.0
42559,16.0,13.0,3.0
42562,25.0,19.0,6.0
42563,186.0,180.0,6.0
42564,71.0,55.0,16.0
42565,1.0,-30.0,31.0
42572,74.0,59.0,15.0
42577,9.0,22.0,-13.0
42581,53.0,37.0,16.0
42584,124.0,121.0,3.0
42585,119.0,110.0,9.0
42587,12.0,28.0,-16.0
42589,53.0,59.0,-6.0
42591,64.0,72.0,-8.0
42592,69.0,66.0,3.0
42596,18.0,7.0,11.0
42597,14.0,0.0,14.0
42601,64.0,59.0,5.0
42604,2.0,-33.0,35.0
42607,42.0,28.0,14.0
42609,1.0,-17.0,18.0
42610,23.0,6.0,17.0
42612,49.0,51.0,-2.0
42613,64.0,48.0,16.0
42615,68.0,68.0,0.0
42619,53.0,49.0,4.0
42623,5.0,-16.0,21.0
42624,58.0,52.0,6.0
42627,28.0,36.0,-8.0
42630,9.0,8.0,1.0
42639,48.0,59.0,-11.0
42641,4.0,-9.0,13.0
42643,5.0,10.0,-5.0
42644,12.0,3.0,9.0
42664,1.0,-17.0,18.0
42667,30.0,16.0,14.0
42669,78.0,69.0,9.0
42670,19.0,14.0,5.0
42671,1.0,-7.0,8.0
42673,7.0,-3.0,10.0
42674,4.0,-12.0,16.0
42675,10.0,8.0,2.0
42676,39.0,26.0,13.0
42677,7.0,-12.0,19.0
42680,1.0,-12.0,13.0
42681,11.0,4.0,7.0
42685,1.0,-7.0,8.0
42692,4.0,-14.0,18.0
42699,5.0,-2.0,7.0
42708,12.0,10.0,2.0
42711,5.0,-13.0,18.0
42712,16.0,0.0,16.0
42725,10.0,-8.0,18.0
42727,6.0,7.0,-1.0
42728,1.0,-15.0,16.0
42740,27.0,39.0,-12.0
42742,16.0,4.0,12.0
42745,42.0,35.0,7.0
42752,4.0,8.0,-4.0
42753,2.0,-11.0,13.0
42754,4.0,9.0,-5.0
42755,3.0,-25.0,28.0
42761,8.0,7.0,1.0
42767,7.0,4.0,3.0
42769,23.0,18.0,5.0
42770,25.0,66.0,-41.0
42771,71.0,68.0,3.0
42772,94.0,81.0,13.0
42774,8.0,8.0,0.0
42785,105.0,98.0,7.0
42786,52.0,117.0,-65.0
42797,90.0,79.0,11.0
42799,1.0,-22.0,23.0
42800,66.0,60.0,6.0
42802,49.0,54.0,-5.0
42807,5.0,2.0,3.0
42813,28.0,36.0,-8.0
42814,3.0,3.0,0.0
42816,3.0,16.0,-13.0
42817,303.0,284.0,19.0
42821,16.0,10.0,6.0
42826,10.0,10.0,0.0
42828,10.0,4.0,6.0
42829,1.0,-11.0,12.0
42835,11.0,14.0,-3.0
42841,5.0,-5.0,10.0
42843,53.0,52.0,1.0
42844,10.0,8.0,2.0
42846,10.0,6.0,4.0
42847,18.0,6.0,12.0
42848,24.0,22.0,2.0
42858,33.0,37.0,-4.0
42861,63.0,53.0,10.0
42865,2.0,6.0,-4.0
42872,7.0,2.0,5.0
42873,2.0,-15.0,17.0
42880,8.0,9.0,-1.0
42881,1.0,9.0,-8.0
42883,3.0,0.0,3.0
42884,30.0,37.0,-7.0
42885,21.0,35.0,-14.0
42887,99.0,96.0,3.0
42892,1.0,-7.0,8.0
42894,6.0,-8.0,14.0
42897,65.0,54.0,11.0
42898,102.0,87.0,15.0
42899,1.0,-6.0,7.0
42904,119.0,98.0,21.0
42908,43.0,100.0,-57.0
42909,45.0,43.0,2.0
42911,206.0,177.0,29.0
42913,5.0,40.0,-35.0
42915,64.0,57.0,7.0
42916,55.0,36.0,19.0
42917,186.0,149.0,37.0
42920,22.0,19.0,3.0
42921,4.0,-7.0,11.0
42922,64.0,44.0,20.0
42924,43.0,29.0,14.0
42926,27.0,14.0,13.0
42927,38.0,25.0,13.0
42930,9.0,-1.0,10.0
42931,43.0,42.0,1.0
42935,276.0,272.0,4.0
42942,5.0,0.0,5.0
42943,48.0,29.0,19.0
42944,250.0,281.0,-31.0
42949,3.0,4.0,-1.0
42951,11.0,-6.0,17.0
42952,4.0,12.0,-8.0
42955,1.0,14.0,-13.0
42956,25.0,9.0,16.0
42960,3.0,28.0,-25.0
42965,11.0,-19.0,30.0
42966,9.0,25.0,-16.0
42974,41.0,35.0,6.0
42976,45.0,46.0,-1.0
42978,69.0,57.0,12.0
42981,108.0,90.0,18.0
42982,37.0,57.0,-20.0
42989,11.0,3.0,8.0
42991,4.0,-9.0,13.0
42993,31.0,6.0,25.0
42996,27.0,2.0,25.0
42998,2.0,2.0,0.0
42999,11.0,13.0,-2.0
43000,60.0,63.0,-3.0
43002,12.0,3.0,9.0
43004,2.0,-16.0,18.0
43007,46.0,71.0,-25.0
43011,5.0,1.0,4.0
43013,19.0,13.0,6.0
43014,11.0,-6.0,17.0
43018,37.0,38.0,-1.0
43020,13.0,21.0,-8.0
43021,23.0,22.0,1.0
43022,3.0,-4.0,7.0
43023,58.0,51.0,7.0
43024,4.0,7.0,-3.0
43025,2.0,-16.0,18.0
43026,78.0,69.0,9.0
43028,9.0,3.0,6.0
43033,8.0,26.0,-18.0
43040,3.0,-2.0,5.0
43041,17.0,22.0,-5.0
43042,13.0,16.0,-3.0
43043,9.0,43.0,-34.0
43048,106.0,91.0,15.0
43049,69.0,63.0,6.0
43051,4.0,-12.0,16.0
43053,31.0,13.0,18.0
43059,5.0,-8.0,13.0
43061,11.0,0.0,11.0
43063,41.0,26.0,15.0
43064,8.0,-5.0,13.0
43065,5.0,26.0,-21.0
43067,4.0,4.0,0.0
43068,10.0,-23.0,33.0
43070,12.0,9.0,3.0
43071,3.0,-6.0,9.0
43077,6.0,8.0,-2.0
43078,1.0,26.0,-25.0
43079,16.0,9.0,7.0
43088,22.0,32.0,-10.0
43089,1.0,-21.0,22.0
43099,53.0,52.0,1.0
43103,4.0,44.0,-40.0
43104,2.0,9.0,-7.0
43107,82.0,85.0,-3.0
43108,14.0,-9.0,23.0
43112,9.0,-1.0,10.0
43114,26.0,30.0,-4.0
43116,70.0,45.0,25.0
43117,50.0,64.0,-14.0
43118,17.0,67.0,-50.0
43127,8.0,-3.0,11.0
43132,18.0,15.0,3.0
43133,10.0,84.0,-74.0
43134,72.0,81.0,-9.0
43137,53.0,102.0,-49.0
43138,15.0,60.0,-45.0
43139,8.0,53.0,-45.0
43140,42.0,37.0,5.0
43144,90.0,89.0,1.0
43147,27.0,14.0,13.0
43149,20.0,-2.0,22.0
43159,271.0,259.0,12.0
43169,70.0,67.0,3.0
43171,5.0,-8.0,13.0
43172,37.0,24.0,13.0
43176,93.0,113.0,-20.0
43180,80.0,70.0,10.0
43181,49.0,49.0,0.0
43182,46.0,45.0,1.0
43183,125.0,253.0,-128.0
43185,32.0,147.0,-115.0
43186,9.0,7.0,2.0
43193,12.0,2.0,10.0
43196,7.0,6.0,1.0
43198,12.0,5.0,7.0
43202,23.0,16.0,7.0
43203,5.0,-8.0,13.0
43204,95.0,87.0,8.0
43212,4.0,-7.0,11.0
43215,231.0,269.0,-38.0
43216,9.0,20.0,-11.0
43219,11.0,10.0,1.0
43220,15.0,13.0,2.0
43221,7.0,9.0,-2.0
43223,2.0,-15.0,17.0
43227,79.0,63.0,16.0
43228,25.0,13.0,12.0
43230,10.0,6.0,4.0
43232,8.0,8.0,0.0
43236,61.0,53.0,8.0
43237,43.0,58.0,-15.0
43240,53.0,46.0,7.0
43244,160.0,162.0,-2.0
43245,4.0,-2.0,6.0
43246,107.0,95.0,12.0
43247,7.0,64.0,-57.0
43255,4.0,-11.0,15.0
43256,74.0,67.0,7.0
43258,1.0,-9.0,10.0
43260,227.0,372.0,-145.0
43263,21.0,17.0,4.0
43264,39.0,17.0,22.0
43266,52.0,42.0,10.0
43267,46.0,32.0,14.0
43272,34.0,35.0,-1.0
43276,40.0,10.0,30.0
43277,93.0,86.0,7.0
43278,5.0,0.0,5.0
43279,2.0,8.0,-6.0
43282,13.0,-1.0,14.0
43283,116.0,113.0,3.0
43284,6.0,-5.0,11.0
43285,56.0,58.0,-2.0
43287,69.0,127.0,-58.0
43290,5.0,8.0,-3.0
43291,74.0,70.0,4.0
43292,19.0,18.0,1.0
43294,39.0,41.0,-2.0
43296,21.0,11.0,10.0
43297,5.0,-9.0,14.0
43298,1.0,-7.0,8.0
43299,14.0,126.0,-112.0
43300,90.0,94.0,-4.0
43302,55.0,91.0,-36.0
43306,7.0,9.0,-2.0
43307,200.0,175.0,25.0
43311,273.0,258.0,15.0
43312,153.0,236.0,-83.0
43315,226.0,221.0,5.0
43327,106.0,98.0,8.0
43333,300.0,377.0,-77.0
43334,5.0,6.0,-1.0
43335,35.0,36.0,-1.0
43336,25.0,22.0,3.0
43341,11.0,4.0,7.0
43345,39.0,35.0,4.0
43352,27.0,59.0,-32.0
43355,12.0,-17.0,29.0
43361,9.0,-3.0,12.0
43362,21.0,15.0,6.0
43364,2.0,1.0,1.0
43366,25.0,15.0,10.0
43367,4.0,8.0,-4.0
43368,16.0,42.0,-26.0
43370,4.0,-13.0,17.0
43372,5.0,-5.0,10.0
43373,13.0,1.0,12.0
43374,24.0,4.0,20.0
43375,16.0,4.0,12.0
43376,55.0,40.0,15.0
43377,13.0,-3.0,16.0
43378,40.0,16.0,24.0
43379,56.0,31.0,25.0
43380,47.0,35.0,12.0
43381,41.0,23.0,18.0
43384,27.0,10.0,17.0
43386,2.0,-3.0,5.0
43388,25.0,8.0,17.0
43390,26.0,23.0,3.0
43391,24.0,14.0,10.0
43395,11.0,11.0,0.0
43396,8.0,9.0,-1.0
43397,63.0,45.0,18.0
43399,89.0,89.0,0.0
43400,26.0,1.0,25.0
43401,61.0,51.0,10.0
43402,27.0,9.0,18.0
43403,1.0,-18.0,19.0
43404,12.0,6.0,6.0
43406,19.0,7.0,12.0
43416,8.0,-9.0,17.0
43418,4.0,-16.0,20.0
43419,3.0,-11.0,14.0
43421,15.0,2.0,13.0
43423,27.0,14.0,13.0
43427,3.0,0.0,3.0
43429,132.0,118.0,14.0
43430,9.0,3.0,6.0
43431,1.0,-13.0,14.0
43432,16.0,-2.0,18.0
43437,8.0,12.0,-4.0
43441,91.0,73.0,18.0
43442,38.0,25.0,13.0
43450,9.0,-8.0,17.0
43451,3.0,8.0,-5.0
43453,617.0,606.0,11.0
43454,20.0,6.0,14.0
43457,51.0,43.0,8.0
43458,121.0,110.0,11.0
43461,1.0,6.0,-5.0
43463,16.0,19.0,-3.0
43464,50.0,42.0,8.0
43465,94.0,100.0,-6.0
43466,106.0,111.0,-5.0
43474,39.0,28.0,11.0
43482,86.0,68.0,18.0
43483,8.0,2.0,6.0
43487,16.0,87.0,-71.0
43489,398.0,387.0,11.0
43490,26.0,3.0,23.0
43491,109.0,123.0,-14.0
43492,2.0,-8.0,10.0
43495,131.0,124.0,7.0
43498,120.0,123.0,-3.0
43502,2.0,-9.0,11.0
43505,145.0,152.0,-7.0
43506,31.0,25.0,6.0
43508,77.0,84.0,-7.0
43509,82.0,65.0,17.0
43510,51.0,41.0,10.0
43518,4.0,0.0,4.0
43519,4.0,2.0,2.0
43522,164.0,151.0,13.0
43523,50.0,64.0,-14.0
43524,1.0,-5.0,6.0
43525,3.0,-6.0,9.0
43526,93.0,85.0,8.0
43528,196.0,182.0,14.0
43530,7.0,2.0,5.0
43536,45.0,25.0,20.0
43537,6.0,-25.0,31.0
43543,76.0,85.0,-9.0
43544,101.0,74.0,27.0
43545,128.0,138.0,-10.0
43549,3.0,10.0,-7.0
43550,81.0,73.0,8.0
43555,47.0,31.0,16.0
43556,147.0,155.0,-8.0
43558,54.0,40.0,14.0
43559,13.0,12.0,1.0
43560,47.0,72.0,-25.0
43561,5.0,-3.0,8.0
43564,320.0,321.0,-1.0
43567,12.0,9.0,3.0
43568,33.0,17.0,16.0
43569,1.0,-11.0,12.0
43570,129.0,154.0,-25.0
43571,59.0,79.0,-20.0
43572,115.0,106.0,9.0
43576,3.0,-19.0,22.0
43578,10.0,-6.0,16.0
43579,33.0,51.0,-18.0
43580,31.0,45.0,-14.0
43582,16.0,63.0,-47.0
43583,84.0,80.0,4.0
43589,1.0,-6.0,7.0
43590,70.0,48.0,22.0
43591,26.0,36.0,-10.0
43597,16.0,-2.0,18.0
43603,235.0,238.0,-3.0
43607,5.0,-14.0,19.0
43609,419.0,410.0,9.0
43614,59.0,33.0,26.0
43615,297.0,287.0,10.0
43616,1.0,5.0,-4.0
43618,109.0,124.0,-15.0
43619,34.0,45.0,-11.0
43628,3.0,49.0,-46.0
43629,33.0,39.0,-6.0
43630,43.0,38.0,5.0
43631,5.0,10.0,-5.0
43633,17.0,3.0,14.0
43637,29.0,5.0,24.0
43640,29.0,22.0,7.0
43641,18.0,11.0,7.0
43642,74.0,97.0,-23.0
43645,13.0,8.0,5.0
43646,1.0,-8.0,9.0
43651,1.0,-2.0,3.0
43652,108.0,104.0,4.0
43655,62.0,57.0,5.0
43657,25.0,18.0,7.0
43660,4.0,-21.0,25.0
43662,2.0,-3.0,5.0
43663,17.0,18.0,-1.0
43664,18.0,20.0,-2.0
43669,37.0,37.0,0.0
43670,20.0,-9.0,29.0
43671,12.0,36.0,-24.0
43672,16.0,15.0,1.0
43673,25.0,21.0,4.0
43680,3.0,13.0,-10.0
43681,4.0,3.0,1.0
43684,9.0,-5.0,14.0
43685,1.0,6.0,-5.0
43686,112.0,128.0,-16.0
43687,23.0,11.0,12.0
43688,45.0,42.0,3.0
43689,41.0,43.0,-2.0
43690,82.0,73.0,9.0
43692,12.0,3.0,9.0
43695,37.0,30.0,7.0
43696,19.0,15.0,4.0
43698,20.0,15.0,5.0
43702,89.0,85.0,4.0
43704,123.0,138.0,-15.0
43712,9.0,24.0,-15.0
43725,2.0,-6.0,8.0
43730,102.0,89.0,13.0
43732,23.0,27.0,-4.0
43735,9.0,-15.0,24.0
43736,85.0,78.0,7.0
43738,7.0,0.0,7.0
43740,2.0,23.0,-21.0
43741,67.0,70.0,-3.0
43743,7.0,19.0,-12.0
43746,37.0,25.0,12.0
43747,21.0,28.0,-7.0
43750,125.0,132.0,-7.0
43751,15.0,22.0,-7.0
43753,69.0,64.0,5.0
43755,67.0,89.0,-22.0
43756,19.0,112.0,-93.0
43759,1.0,-9.0,10.0
43763,55.0,52.0,3.0
43765,25.0,22.0,3.0
43769,5.0,-9.0,14.0
43770,86.0,103.0,-17.0
43771,6.0,-16.0,22.0
43773,24.0,13.0,11.0
43777,54.0,70.0,-16.0
43778,110.0,99.0,11.0
43779,7.0,13.0,-6.0
43780,2.0,45.0,-43.0
43782,45.0,45.0,0.0
43783,71.0,49.0,22.0
43784,9.0,3.0,6.0
43785,140.0,141.0,-1.0
43789,151.0,146.0,5.0
43794,61.0,53.0,8.0
43797,29.0,57.0,-28.0
43798,38.0,32.0,6.0
43802,14.0,67.0,-53.0
43803,4.0,10.0,-6.0
43804,4.0,-1.0,5.0
43808,27.0,13.0,14.0
43809,9.0,13.0,-4.0
43811,15.0,24.0,-9.0
43819,10.0,5.0,5.0
43820,13.0,12.0,1.0
43822,9.0,17.0,-8.0
43825,20.0,18.0,2.0
43830,6.0,30.0,-24.0
43841,1.0,-10.0,11.0
43844,92.0,66.0,26.0
43853,13.0,9.0,4.0
43854,16.0,-4.0,20.0
43855,3.0,-10.0,13.0
43856,12.0,4.0,8.0
43857,2.0,-4.0,6.0
43861,5.0,-6.0,11.0
43864,1.0,6.0,-5.0
43866,10.0,-4.0,14.0
43870,14.0,3.0,11.0
43872,22.0,9.0,13.0
43874,7.0,-19.0,26.0
43876,7.0,1.0,6.0
43881,8.0,-3.0,11.0
43884,22.0,18.0,4.0
43885,19.0,39.0,-20.0
43888,3.0,-12.0,15.0
43889,103.0,88.0,15.0
43890,87.0,85.0,2.0
43892,24.0,13.0,11.0
43893,7.0,-3.0,10.0
43899,131.0,129.0,2.0
43904,15.0,29.0,-14.0
43905,11.0,-32.0,43.0
43914,8.0,-24.0,32.0
43920,62.0,51.0,11.0
43925,56.0,43.0,13.0
43931,39.0,27.0,12.0
43933,16.0,19.0,-3.0
43935,2.0,-20.0,22.0
43940,1.0,-22.0,23.0
43945,8.0,0.0,8.0
43956,1.0,-6.0,7.0
43958,24.0,11.0,13.0
43960,2.0,-21.0,23.0
43962,10.0,-8.0,18.0
43964,6.0,-18.0,24.0
43965,7.0,4.0,3.0
43966,17.0,19.0,-2.0
43967,10.0,2.0,8.0
43968,3.0,-10.0,13.0
43969,8.0,8.0,0.0
43971,17.0,0.0,17.0
43972,14.0,-3.0,17.0
43973,18.0,0.0,18.0
43974,4.0,-6.0,10.0
43975,23.0,15.0,8.0
43976,4.0,8.0,-4.0
43979,17.0,11.0,6.0
43982,2.0,-10.0,12.0
43983,4.0,20.0,-16.0
43987,2.0,-2.0,4.0
43989,30.0,22.0,8.0
43993,1.0,-10.0,11.0
43997,82.0,89.0,-7.0
43998,6.0,31.0,-25.0
43999,8.0,-10.0,18.0
44000,6.0,7.0,-1.0
44001,1.0,-7.0,8.0
44007,10.0,11.0,-1.0
44011,8.0,2.0,6.0
44013,18.0,5.0,13.0
44014,5.0,9.0,-4.0
44020,4.0,-9.0,13.0
44021,8.0,0.0,8.0
44023,10.0,-3.0,13.0
44027,8.0,-2.0,10.0
44028,15.0,-7.0,22.0
44030,14.0,22.0,-8.0
44034,18.0,-1.0,19.0
44038,34.0,30.0,4.0
44042,79.0,57.0,22.0
44044,16.0,15.0,1.0
44046,2.0,-2.0,4.0
44048,327.0,319.0,8.0
44049,18.0,-6.0,24.0
44057,195.0,188.0,7.0
44059,109.0,118.0,-9.0
44061,4.0,-22.0,26.0
44062,7.0,7.0,0.0
44063,7.0,0.0,7.0
44067,40.0,33.0,7.0
44069,9.0,5.0,4.0
44071,304.0,290.0,14.0
44072,19.0,-4.0,23.0
44076,4.0,3.0,1.0
44077,178.0,250.0,-72.0
44078,272.0,257.0,15.0
44084,3.0,-11.0,14.0
44089,8.0,29.0,-21.0
44092,105.0,74.0,31.0
44093,23.0,9.0,14.0
44094,1.0,-11.0,12.0
44098,11.0,4.0,7.0
44102,1.0,7.0,-6.0
44109,26.0,26.0,0.0
44113,15.0,8.0,7.0
44114,39.0,29.0,10.0
44116,1.0,12.0,-11.0
44119,50.0,36.0,14.0
44123,23.0,25.0,-2.0
44128,30.0,30.0,0.0
44135,13.0,15.0,-2.0
44136,2.0,-7.0,9.0
44142,50.0,47.0,3.0
44156,4.0,-18.0,22.0
44158,4.0,-5.0,9.0
44162,34.0,13.0,21.0
44163,24.0,8.0,16.0
44169,40.0,37.0,3.0
44177,114.0,116.0,-2.0
44178,107.0,98.0,9.0
44179,2.0,-14.0,16.0
44196,28.0,17.0,11.0
44199,147.0,144.0,3.0
44200,73.0,33.0,40.0
44205,3.0,-16.0,19.0
44206,4.0,-8.0,12.0
44209,4.0,-12.0,16.0
44214,30.0,37.0,-7.0
44218,3.0,-5.0,8.0
44219,12.0,-17.0,29.0
44220,79.0,19.0,60.0
44227,50.0,52.0,-2.0
44228,41.0,27.0,14.0
44231,4.0,-2.0,6.0
44236,19.0,18.0,1.0
44237,6.0,5.0,1.0
44243,8.0,-3.0,11.0
44244,110.0,103.0,7.0
44245,116.0,110.0,6.0
44246,253.0,241.0,12.0
44254,7.0,-2.0,9.0
44256,11.0,6.0,5.0
44257,10.0,7.0,3.0
44259,12.0,5.0,7.0
44261,11.0,1.0,10.0
44265,6.0,0.0,6.0
44272,27.0,41.0,-14.0
44273,76.0,71.0,5.0
44274,9.0,26.0,-17.0
44276,6.0,5.0,1.0
44277,2.0,15.0,-13.0
44280,36.0,29.0,7.0
44281,57.0,61.0,-4.0
44282,4.0,-4.0,8.0
44293,11.0,-6.0,17.0
44296,2.0,-21.0,23.0
44300,4.0,-1.0,5.0
44301,3.0,-13.0,16.0
44303,16.0,1.0,15.0
44314,14.0,1.0,13.0
44319,2.0,3.0,-1.0
44321,49.0,37.0,12.0
44322,20.0,52.0,-32.0
44328,53.0,63.0,-10.0
44329,44.0,24.0,20.0
44333,24.0,27.0,-3.0
44334,13.0,12.0,1.0
44335,73.0,62.0,11.0
44336,62.0,64.0,-2.0
44340,21.0,-4.0,25.0
44342,196.0,208.0,-12.0
44343,3.0,-17.0,20.0
44344,3.0,-7.0,10.0
44346,9.0,-2.0,11.0
44347,113.0,89.0,24.0
44348,2.0,-15.0,17.0
44349,30.0,41.0,-11.0
44350,57.0,44.0,13.0
44353,2.0,3.0,-1.0
44354,108.0,85.0,23.0
44356,29.0,20.0,9.0
44357,1.0,12.0,-11.0
44359,39.0,66.0,-27.0
44363,13.0,22.0,-9.0
44366,1.0,-17.0,18.0
44369,29.0,44.0,-15.0
44381,12.0,0.0,12.0
44387,4.0,-7.0,11.0
44394,14.0,8.0,6.0
44411,11.0,-1.0,12.0
44416,2.0,28.0,-26.0
44435,19.0,5.0,14.0
44439,36.0,19.0,17.0
44440,12.0,19.0,-7.0
44441,29.0,17.0,12.0
44443,5.0,-16.0,21.0
44444,7.0,0.0,7.0
44453,27.0,36.0,-9.0
44454,2.0,-10.0,12.0
44455,2.0,-9.0,11.0
44456,46.0,34.0,12.0
44457,84.0,56.0,28.0
44459,5.0,-1.0,6.0
44460,48.0,37.0,11.0
44462,54.0,43.0,11.0
44464,137.0,124.0,13.0
44467,213.0,200.0,13.0
44469,51.0,40.0,11.0
44472,2.0,-5.0,7.0
44475,28.0,19.0,9.0
44479,24.0,5.0,19.0
44482,80.0,71.0,9.0
44485,15.0,12.0,3.0
44486,2.0,-12.0,14.0
44491,40.0,20.0,20.0
44493,22.0,25.0,-3.0
44497,3.0,2.0,1.0
44503,5.0,2.0,3.0
44504,6.0,6.0,0.0
44519,127.0,117.0,10.0
44520,133.0,129.0,4.0
44521,8.0,1.0,7.0
44522,31.0,38.0,-7.0
44523,85.0,85.0,0.0
44526,4.0,-7.0,11.0
44527,24.0,13.0,11.0
44528,1.0,-8.0,9.0
44529,34.0,18.0,16.0
44533,25.0,7.0,18.0
44535,2.0,-6.0,8.0
44537,6.0,-13.0,19.0
