,crs_dep_time,taxi_out,crs_arr_time,taxi_in
49297,1241,14.0,1531,8.0
49298,2106,13.0,32,7.0
49299,2153,17.0,559,7.0
49300,1531,22.0,1834,4.0
49301,1218,13.0,1448,6.0
49302,1038,14.0,1505,7.0
49303,1359,14.0,1537,3.0
49304,1612,15.0,1741,9.0
49305,1509,15.0,1628,5.0
49306,840,50.0,1113,5.0
49307,1647,15.0,101,8.0
49308,1515,18.0,1640,3.0
49309,1735,20.0,1856,6.0
49310,600,16.0,944,4.0
49311,2128,12.0,2332,6.0
49312,854,34.0,1020,7.0
49313,1334,,1410,
49314,1559,12.0,1817,12.0
49315,808,14.0,1041,10.0
49316,1116,21.0,1326,5.0
49317,2340,14.0,732,8.0
49318,800,11.0,1122,5.0
49319,1211,15.0,1500,4.0
49320,2138,16.0,2311,5.0
49321,1850,12.0,2139,1.0
49322,1632,8.0,1941,14.0
49323,1959,16.0,2305,4.0
49324,1633,15.0,1836,4.0
49325,1924,11.0,2141,6.0
49326,1756,22.0,2114,13.0
49327,1245,11.0,1701,6.0
49328,850,19.0,959,5.0
49329,1046,14.0,1534,9.0
49330,1055,25.0,1221,5.0
49331,1344,13.0,1845,25.0
49332,1850,26.0,1938,4.0
49333,1835,63.0,2329,6.0
49334,729,38.0,1059,12.0
49335,805,36.0,1116,15.0
49336,1825,25.0,2118,9.0
49337,734,10.0,1354,23.0
49338,1000,33.0,1201,6.0
49339,1300,21.0,1456,10.0
49340,530,18.0,1131,17.0
49341,1529,20.0,1739,15.0
49342,1105,12.0,1443,6.0
49343,107,13.0,715,3.0
49344,1646,12.0,1912,2.0
49345,600,9.0,1127,16.0
49346,2240,26.0,37,7.0
49347,1105,19.0,1443,8.0
49348,1536,14.0,1735,10.0
49349,1105,22.0,1432,8.0
49350,703,32.0,1002,58.0
49351,1447,19.0,1604,5.0
49352,1240,16.0,1353,6.0
49353,800,24.0,910,3.0
49354,1250,59.0,1410,2.0
49355,2140,9.0,2300,3.0
49356,1455,46.0,1610,4.0
49357,1735,44.0,1850,4.0
49358,610,13.0,810,6.0
49359,1535,57.0,1735,9.0
49360,1020,79.0,1225,8.0
49361,2100,10.0,2305,5.0
49362,1255,54.0,1500,10.0
49363,1825,18.0,2020,7.0
49364,1855,23.0,2145,5.0
49365,840,44.0,1140,6.0
49366,625,,740,
49367,1510,27.0,1615,3.0
49368,1945,13.0,2055,7.0
49369,2150,11.0,2305,4.0
49370,1115,69.0,1225,5.0
49371,1420,39.0,1535,2.0
49372,1705,32.0,1810,4.0
49373,620,15.0,720,4.0
49374,1240,58.0,1340,4.0
49375,1005,64.0,1110,5.0
49376,2155,9.0,2300,4.0
49377,1900,,2000,
49378,1355,55.0,1530,11.0
49379,725,10.0,850,7.0
49380,1155,70.0,1330,5.0
49381,845,47.0,1224,5.0
49382,945,33.0,1325,8.0
49383,935,25.0,1253,9.0
49384,1200,14.0,1527,12.0
49385,605,19.0,949,8.0
49386,1659,46.0,1919,5.0
49387,615,13.0,746,5.0
49388,1500,12.0,1731,4.0
49389,1759,43.0,2040,5.0
49390,650,,705,
49391,1840,12.0,2035,11.0
49392,1615,14.0,1929,12.0
49393,1945,12.0,2010,40.0
49394,2145,14.0,2351,10.0
49395,2145,17.0,2356,6.0
49396,1000,,1257,
49397,1759,16.0,1930,7.0
49398,1655,17.0,1914,8.0
49399,1955,13.0,2104,3.0
49400,1645,14.0,1832,8.0
49401,1040,20.0,1249,11.0
49402,1956,21.0,2346,29.0
49403,1845,50.0,2006,11.0
49404,659,11.0,844,5.0
49405,2030,26.0,2343,12.0
49406,1303,37.0,1345,16.0
49407,1820,30.0,2053,9.0
49408,1915,26.0,2045,10.0
49409,1829,24.0,2109,17.0
49410,1425,12.0,1550,4.0
49411,1620,10.0,1800,6.0
49412,1237,19.0,1414,17.0
49413,835,16.0,1202,3.0
49414,1524,18.0,1840,18.0
49415,1829,29.0,2000,5.0
49416,1001,23.0,1122,11.0
49417,755,28.0,918,6.0
49418,1829,13.0,2026,13.0
49419,1111,33.0,1255,7.0
49420,658,24.0,1019,7.0
49421,1936,17.0,2119,15.0
49422,1550,18.0,1901,5.0
49423,1949,12.0,2158,6.0
49424,1535,,1734,
49425,1320,,1507,
49426,558,40.0,753,14.0
49427,508,14.0,605,8.0
49428,656,74.0,851,2.0
49429,922,14.0,1114,20.0
49430,842,35.0,917,15.0
49431,1745,43.0,1909,6.0
49432,1435,17.0,1552,4.0
49433,1217,17.0,1352,16.0
49434,1341,11.0,1431,8.0
49435,1230,15.0,1316,3.0
49436,1247,14.0,1428,6.0
49437,1458,12.0,1637,8.0
49438,1620,12.0,2340,19.0
49439,1635,32.0,1815,11.0
49440,1210,32.0,1524,5.0
49441,1140,21.0,1305,5.0
49442,1750,21.0,2126,9.0
49443,605,22.0,735,12.0
49444,923,16.0,1050,13.0
49445,1411,,1530,
49446,1640,15.0,1802,5.0
49447,845,,955,
49448,930,18.0,1045,8.0
49449,2050,16.0,2150,4.0
49450,1830,27.0,2026,7.0
49451,2040,15.0,2319,5.0
49452,1115,22.0,1306,5.0
49453,700,18.0,855,8.0
49454,1315,,1442,
49455,810,44.0,1023,3.0
49456,1820,53.0,1844,24.0
49457,1254,20.0,1614,5.0
49458,1530,26.0,1828,7.0
49459,1605,,1755,
49460,700,22.0,815,5.0
49461,1735,20.0,1924,5.0
49462,2140,22.0,2320,7.0
49463,806,72.0,1036,6.0
49464,1455,32.0,1646,13.0
49465,749,16.0,901,23.0
49466,1300,10.0,1649,9.0
49467,1045,16.0,1205,19.0
49468,1125,16.0,1215,4.0
49469,1000,29.0,1245,4.0
49470,1530,14.0,1830,4.0
49471,1130,8.0,1210,12.0
49472,1200,14.0,1445,14.0
49473,1635,15.0,1855,4.0
49474,1140,17.0,1440,3.0
49475,1840,7.0,2055,4.0
49476,1600,10.0,1650,33.0
49477,600,11.0,645,18.0
49478,1535,11.0,1745,4.0
49479,715,15.0,910,3.0
49480,700,10.0,745,31.0
49481,725,9.0,850,8.0
49482,635,11.0,835,6.0
49483,1045,15.0,1245,9.0
49484,950,29.0,1230,4.0
49485,1335,12.0,1450,6.0
49486,600,15.0,740,30.0
49487,700,11.0,815,9.0
49488,1430,9.0,1610,5.0
49489,1145,13.0,1240,3.0
49490,940,12.0,1040,4.0
49491,1605,7.0,1700,6.0
49492,1445,9.0,1525,3.0
49493,805,7.0,850,2.0
49494,1545,13.0,1830,5.0
49495,1825,8.0,2035,7.0
49496,2025,21.0,2145,3.0
49497,1315,18.0,1436,4.0
49498,1240,14.0,1312,3.0
49499,1329,18.0,1840,5.0
49500,900,17.0,1024,6.0
49501,547,13.0,900,7.0
49502,955,21.0,1154,4.0
49503,1000,25.0,1121,11.0
49504,1509,28.0,1657,8.0
49505,2128,12.0,2223,7.0
49506,1055,14.0,1212,10.0
49507,844,12.0,1008,9.0
49508,2050,13.0,2315,3.0
49509,1300,23.0,1418,5.0
49510,2236,16.0,2340,4.0
49511,2003,16.0,2202,5.0
49512,1925,14.0,2206,4.0
49513,600,49.0,815,5.0
49514,545,33.0,743,10.0
49515,615,30.0,726,6.0
49516,1350,10.0,1349,3.0
49517,959,13.0,1058,5.0
49518,1135,10.0,1418,5.0
49519,1705,12.0,2106,3.0
49520,1605,24.0,1710,5.0
49521,2115,11.0,2333,13.0
49522,2045,22.0,2240,3.0
49523,2025,14.0,2148,3.0
49524,850,16.0,1158,4.0
49525,1940,26.0,2116,4.0
49526,935,11.0,1120,5.0
49527,1805,17.0,1901,5.0
49528,1420,11.0,1540,4.0
49529,735,26.0,1129,6.0
49530,600,23.0,721,8.0
49531,1427,14.0,1455,10.0
49532,730,10.0,850,5.0
49533,825,16.0,930,8.0
49534,640,35.0,735,5.0
49535,1155,16.0,1324,8.0
49536,935,18.0,1142,6.0
49537,545,31.0,711,8.0
49538,1545,11.0,1633,29.0
49539,500,16.0,648,8.0
49540,1020,14.0,1135,5.0
49541,1151,14.0,1320,11.0
49542,1559,24.0,1729,15.0
49543,1930,18.0,2106,5.0
49544,1820,7.0,1912,6.0
49545,1026,12.0,1229,13.0
49546,1600,10.0,1717,17.0
49547,1720,11.0,1901,12.0
49548,1135,24.0,1355,7.0
49549,700,19.0,840,8.0
49550,1215,24.0,1357,7.0
49551,1135,15.0,1141,8.0
49552,1305,14.0,1515,14.0
49553,1335,12.0,1655,8.0
49554,1745,15.0,2105,5.0
49555,2130,10.0,2235,7.0
49556,1105,22.0,1210,6.0
49557,1055,16.0,1210,4.0
49558,1240,12.0,1355,5.0
49559,1620,11.0,1735,4.0
49560,2115,10.0,2230,5.0
49561,655,35.0,815,6.0
49562,1340,9.0,1510,3.0
49563,2130,11.0,2255,3.0
49564,1055,8.0,1225,2.0
49565,815,28.0,930,2.0
49566,1600,10.0,1710,2.0
49567,1310,10.0,1420,4.0
49568,1830,17.0,1940,2.0
49569,1100,14.0,1215,6.0
49570,2135,14.0,2250,6.0
49571,1425,8.0,1540,6.0
49572,1735,12.0,2015,3.0
49573,1950,12.0,2235,5.0
49574,1000,9.0,1245,4.0
49575,1355,7.0,1635,16.0
49576,815,19.0,1100,16.0
49577,2115,9.0,2355,4.0
49578,845,34.0,1145,15.0
49579,1335,10.0,1630,5.0
49580,1330,9.0,1630,4.0
49581,825,16.0,1020,5.0
49582,810,40.0,1225,5.0
49583,600,9.0,1015,15.0
49584,1115,10.0,1530,6.0
49585,2025,8.0,2130,5.0
49586,1140,7.0,1245,3.0
49587,1900,13.0,2015,3.0
49588,910,10.0,1025,3.0
49589,1300,9.0,1415,4.0
49590,1555,17.0,1725,3.0
49591,1015,,1145,
49592,2050,7.0,2220,3.0
49593,710,9.0,840,4.0
49594,940,,1305,
49595,800,52.0,1130,7.0
49596,610,10.0,940,7.0
49597,1315,,1640,
49598,1510,11.0,1840,11.0
49599,1145,14.0,1350,4.0
49600,615,8.0,825,4.0
49601,2010,,2215,
49602,1425,12.0,1635,4.0
49603,1820,8.0,2030,6.0
49604,1610,7.0,1735,4.0
49605,955,8.0,1210,5.0
49606,1550,12.0,1815,5.0
49607,1515,6.0,1640,24.0
49608,800,15.0,925,3.0
49609,700,10.0,820,5.0
49610,1310,10.0,1435,3.0
49611,1755,7.0,1920,5.0
49612,950,,1110,
49613,1040,17.0,1334,7.0
49614,1945,25.0,2255,4.0
49615,1500,13.0,1825,8.0
49616,1130,12.0,1328,4.0
49617,945,11.0,1131,3.0
49618,1235,14.0,1359,5.0
49619,2130,13.0,2228,10.0
49620,1830,11.0,2155,6.0
49621,615,24.0,734,7.0
49622,1710,12.0,1844,4.0
49623,730,12.0,1054,8.0
49624,1230,11.0,1421,3.0
49625,1715,21.0,1853,4.0
49626,1805,12.0,1923,6.0
49627,1445,12.0,1625,4.0
49628,1250,15.0,1610,4.0
49629,1230,17.0,1401,4.0
49630,1500,12.0,1653,15.0
49631,825,35.0,1101,7.0
49632,835,27.0,1024,2.0
49633,1000,16.0,1321,5.0
49634,600,11.0,718,10.0
49635,1817,,2036,
49636,900,,1058,
49637,511,17.0,624,10.0
49638,1942,19.0,2054,4.0
49639,930,53.0,1745,7.0
49640,1850,15.0,2235,3.0
49641,815,19.0,1405,6.0
49642,1225,17.0,1505,4.0
49643,625,11.0,850,4.0
49644,815,14.0,1030,6.0
49645,1125,13.0,1350,4.0
49646,1000,36.0,1245,25.0
49647,730,27.0,1050,13.0
49648,2200,17.0,615,6.0
49649,700,22.0,1525,6.0
49650,1005,35.0,1250,5.0
49651,1745,48.0,2125,4.0
49652,1025,13.0,1645,14.0
49653,1740,43.0,2040,8.0
49654,1510,14.0,1635,4.0
49655,1225,20.0,1750,6.0
49656,730,11.0,925,2.0
49657,1150,29.0,1800,11.0
49658,1830,25.0,1955,9.0
49659,1905,22.0,2150,7.0
49660,1130,24.0,1255,17.0
49661,620,21.0,750,16.0
49662,815,23.0,1025,15.0
49663,1745,20.0,2025,6.0
49664,855,23.0,1020,3.0
49665,845,28.0,1035,4.0
49666,1950,19.0,2115,4.0
49667,1730,16.0,2020,9.0
49668,1313,12.0,1604,5.0
49669,2225,21.0,157,4.0
49670,307,30.0,451,5.0
49671,818,13.0,1139,4.0
49672,1101,20.0,1310,14.0
49673,828,17.0,1021,5.0
49674,945,13.0,1309,28.0
49675,2145,12.0,23,5.0
49676,1527,14.0,1719,3.0
49677,2106,13.0,52,3.0
49678,2245,10.0,709,6.0
49679,1831,12.0,2015,6.0
49680,611,16.0,842,10.0
49681,1330,12.0,1625,11.0
49682,1930,20.0,2223,7.0
49683,2313,15.0,456,6.0
49684,540,10.0,815,4.0
49685,2110,13.0,7,9.0
49686,1737,10.0,2019,22.0
49687,600,14.0,837,5.0
49688,906,10.0,1222,4.0
49689,1735,27.0,2100,13.0
49690,640,11.0,757,5.0
49691,927,21.0,1045,5.0
49692,600,16.0,857,6.0
49693,1859,9.0,2127,9.0
49694,1754,15.0,1936,5.0
49695,704,37.0,1044,5.0
49696,936,11.0,1325,4.0
49697,1200,11.0,1502,11.0
49698,2140,11.0,2300,4.0
49699,1235,9.0,1355,5.0
49700,1650,10.0,1810,4.0
49701,930,25.0,1040,4.0
49702,1850,8.0,2035,3.0
49703,850,20.0,1055,2.0
49704,1400,14.0,1625,3.0
49705,2130,24.0,2225,4.0
49706,1130,10.0,1405,5.0
49707,915,21.0,1155,4.0
49708,1735,12.0,2005,5.0
49709,1400,12.0,1720,6.0
49710,835,10.0,1200,6.0
49711,2135,21.0,2240,5.0
49712,1610,11.0,1725,4.0
49713,2200,9.0,2315,5.0
49714,1115,8.0,1230,4.0
49715,2135,12.0,2300,2.0
49716,1345,9.0,1515,3.0
49717,1610,10.0,1720,17.0
49718,2140,9.0,2250,2.0
49719,1845,9.0,1955,2.0
49720,2135,23.0,2250,5.0
49721,1100,11.0,1345,3.0
49722,930,21.0,1215,4.0
49723,1800,7.0,2045,3.0
49724,1555,8.0,1835,4.0
49725,1415,13.0,1710,3.0
49726,835,12.0,1135,3.0
49727,1355,17.0,1655,4.0
49728,1810,15.0,1958,5.0
49729,1805,17.0,2050,7.0
49730,1935,18.0,2235,5.0
49731,1700,12.0,1830,3.0
49732,835,24.0,1626,4.0
49733,1709,10.0,2001,9.0
49734,1725,11.0,2008,16.0
49735,2105,13.0,510,7.0
49736,1930,32.0,2135,14.0
49737,1315,12.0,1637,9.0
49738,1755,22.0,2242,6.0
49739,1415,14.0,1600,7.0
49740,900,29.0,1140,7.0
49741,1901,21.0,2026,6.0
49742,1440,23.0,2059,10.0
49743,1401,17.0,1539,5.0
49744,556,10.0,705,11.0
49745,1150,12.0,1313,4.0
49746,1245,30.0,1511,4.0
49747,1759,24.0,2034,12.0
49748,1938,20.0,2152,6.0
49749,1400,11.0,1539,11.0
49750,1800,24.0,1933,5.0
49751,1920,11.0,2145,12.0
49752,1605,41.0,1901,9.0
49753,1619,11.0,2025,9.0
49754,1924,14.0,2105,7.0
49755,1715,12.0,2050,13.0
49756,908,20.0,1213,5.0
49757,1236,23.0,1427,3.0
49758,831,23.0,1439,2.0
49759,1127,12.0,1304,4.0
49760,1025,15.0,1247,11.0
49761,1400,17.0,1719,7.0
49762,700,62.0,1529,10.0
49763,945,16.0,1530,9.0
49764,1040,23.0,1821,9.0
49765,918,21.0,1144,3.0
49766,945,12.0,1238,7.0
49767,600,12.0,852,7.0
49768,628,20.0,830,7.0
49769,2005,15.0,2137,5.0
49770,1015,13.0,1226,9.0
49771,1327,11.0,1515,3.0
49772,1218,29.0,1319,6.0
49773,1015,10.0,1124,2.0
49774,1251,11.0,1529,9.0
49775,1422,17.0,1519,4.0
49776,949,18.0,1520,6.0
49777,1700,10.0,1822,27.0
49778,1915,14.0,2043,5.0
49779,725,13.0,1005,7.0
49780,1736,21.0,2030,7.0
49781,1905,13.0,2125,5.0
49782,1349,14.0,1630,21.0
49783,1010,17.0,1433,10.0
49784,1435,19.0,1742,4.0
49785,805,23.0,937,2.0
49786,1200,15.0,1529,7.0
49787,700,37.0,1101,7.0
49788,615,23.0,746,6.0
49789,1307,40.0,1430,4.0
49790,1105,24.0,1242,7.0
49791,1700,13.0,1829,5.0
49792,1832,13.0,1937,5.0
49793,1705,19.0,1807,4.0
49794,2035,15.0,2210,4.0
49795,710,150.0,812,3.0
49796,1145,11.0,1314,11.0
49797,945,22.0,1115,3.0
49798,1930,12.0,2225,6.0
49799,548,31.0,749,3.0
49800,1652,16.0,1929,8.0
49801,1945,14.0,2220,4.0
49802,2030,17.0,2037,3.0
49803,1837,11.0,1945,5.0
49804,1700,13.0,1812,4.0
49805,2020,24.0,2155,4.0
49806,1522,15.0,1634,6.0
49807,1345,17.0,1457,3.0
49808,635,15.0,745,4.0
49809,1136,13.0,1248,3.0
49810,945,36.0,1106,2.0
49811,1523,28.0,1630,4.0
49812,1345,15.0,1458,2.0
49813,1836,22.0,1944,4.0
49814,1700,15.0,1811,3.0
49815,630,8.0,730,4.0
49816,1145,17.0,1359,14.0
49817,2146,22.0,49,2.0
49818,1657,37.0,1924,8.0
49819,1050,39.0,1434,6.0
49820,1521,22.0,1725,20.0
49821,540,8.0,933,12.0
49822,1329,12.0,1709,11.0
49823,1515,13.0,1725,8.0
49824,1839,11.0,2003,4.0
49825,1250,11.0,1749,11.0
49826,700,36.0,1000,6.0
49827,1056,24.0,1900,7.0
49828,829,33.0,1157,6.0
49829,1329,13.0,1500,4.0
49830,1553,9.0,1744,8.0
49831,1240,12.0,1357,10.0
49832,820,16.0,1112,14.0
49833,920,18.0,1104,18.0
49834,1300,9.0,1537,19.0
49835,906,23.0,1201,4.0
49836,724,13.0,851,12.0
49837,1135,11.0,1330,7.0
49838,1419,15.0,1757,10.0
49839,1516,10.0,1734,16.0
49840,1245,13.0,1430,6.0
49841,2030,31.0,2206,10.0
49842,1652,15.0,2110,4.0
49843,1600,14.0,2056,5.0
49844,1850,18.0,2010,9.0
49845,1631,18.0,1749,10.0
49846,751,20.0,910,3.0
49847,1605,16.0,1918,12.0
49848,1448,21.0,1545,3.0
49849,1405,21.0,1533,6.0
49850,1015,15.0,1118,20.0
49851,1500,38.0,1639,55.0
49852,1555,24.0,1820,4.0
49853,1045,36.0,1154,6.0
49854,2235,21.0,2339,4.0
49855,1645,12.0,1710,10.0
49856,1655,37.0,1926,6.0
49857,1015,25.0,1201,11.0
49858,745,,901,
49859,805,18.0,907,12.0
49860,1800,32.0,1939,7.0
49861,1415,11.0,1600,12.0
49862,1007,54.0,1232,5.0
49863,905,27.0,1037,13.0
49864,1719,31.0,1953,4.0
49865,2235,20.0,2359,5.0
49866,1750,19.0,2002,7.0
49867,815,20.0,1016,6.0
49868,900,30.0,1220,6.0
49869,1900,38.0,2102,5.0
49870,820,61.0,1139,12.0
49871,1630,19.0,1734,3.0
49872,1500,30.0,1738,4.0
49873,1200,37.0,1453,4.0
49874,1348,16.0,1519,10.0
49875,1355,19.0,1529,6.0
49876,1535,13.0,1740,4.0
49877,1048,20.0,1236,9.0
49878,1235,15.0,1708,9.0
49879,720,26.0,1022,9.0
49880,1100,27.0,1242,6.0
49881,1235,30.0,1425,4.0
49882,755,19.0,923,6.0
49883,1110,15.0,1211,11.0
49884,1800,30.0,2110,9.0
49885,607,21.0,815,14.0
49886,740,20.0,1025,5.0
49887,912,30.0,1033,4.0
49888,725,18.0,954,11.0
49889,1345,17.0,1609,8.0
49890,1100,,1213,
49891,1602,26.0,1810,26.0
49892,1720,14.0,1844,6.0
49893,1810,12.0,2010,12.0
49894,1830,51.0,1948,6.0
49895,1240,,1558,
49896,1615,18.0,1815,10.0
49897,1530,16.0,1654,7.0
49898,835,33.0,1015,4.0
49899,1314,14.0,1415,5.0
49900,2035,19.0,2142,15.0
49901,735,26.0,906,3.0
49902,735,15.0,841,6.0
49903,1348,56.0,1748,4.0
49904,1035,37.0,1251,5.0
49905,636,23.0,910,10.0
49906,932,14.0,1105,15.0
49907,1844,10.0,2156,6.0
49908,1215,11.0,1719,10.0
49909,612,32.0,1000,8.0
49910,1900,16.0,2000,3.0
49911,2046,27.0,2155,23.0
49912,1530,20.0,1655,6.0
49913,814,25.0,1309,21.0
49914,1536,11.0,1754,15.0
49915,2035,11.0,2224,5.0
49916,701,18.0,851,26.0
49917,659,15.0,1010,15.0
49918,1954,20.0,2246,3.0
49919,1023,31.0,1318,4.0
49920,1425,19.0,2050,11.0
49921,1443,15.0,1739,9.0
49922,1245,16.0,1353,31.0
49923,1900,38.0,2009,4.0
49924,2116,18.0,2138,6.0
49925,724,14.0,1224,5.0
49926,1555,13.0,1844,4.0
49927,1431,9.0,1812,4.0
49928,1859,9.0,2115,12.0
49929,2050,18.0,2229,5.0
49930,1136,12.0,1744,17.0
49931,630,30.0,834,7.0
49932,625,20.0,930,10.0
49933,1935,17.0,2105,4.0
49934,1625,12.0,1846,5.0
49935,900,13.0,1138,9.0
49936,1715,16.0,1837,5.0
49937,1715,15.0,1847,2.0
49938,1705,15.0,1809,5.0
49939,1438,10.0,1943,7.0
49940,1020,14.0,1149,3.0
49941,1640,14.0,1839,7.0
49942,1745,12.0,1938,6.0
49943,2215,17.0,36,5.0
49944,600,13.0,839,8.0
49945,1155,14.0,1346,2.0
49946,935,14.0,1112,7.0
49947,1945,8.0,2105,4.0
49948,635,17.0,852,8.0
49949,1855,9.0,2048,10.0
49950,835,22.0,1024,2.0
49951,645,8.0,835,4.0
49952,745,19.0,936,3.0
49953,1130,18.0,1328,4.0
49954,1925,12.0,2046,4.0
49955,2130,11.0,2321,4.0
49956,1720,14.0,2020,30.0
49957,835,24.0,1127,3.0
49958,1620,20.0,1925,4.0
49959,710,10.0,826,4.0
49960,1705,17.0,1855,4.0
49961,1422,15.0,1626,7.0
49962,1829,10.0,1926,5.0
49963,2012,26.0,2120,9.0
49964,1045,10.0,1229,16.0
49965,831,9.0,1000,5.0
49966,1629,29.0,1835,15.0
49967,1155,21.0,1534,15.0
49968,1323,14.0,1404,8.0
49969,1444,7.0,1729,12.0
49970,1846,24.0,1954,4.0
49971,1915,20.0,2238,4.0
49972,1300,16.0,1526,21.0
49973,1427,12.0,1534,4.0
49974,1235,12.0,1337,7.0
49975,1440,13.0,1702,7.0
49976,1156,15.0,1739,17.0
49977,850,18.0,1007,5.0
49978,1055,9.0,1550,10.0
49979,1911,31.0,2246,4.0
49980,1515,16.0,1855,8.0
49981,850,15.0,1129,11.0
49982,555,13.0,723,30.0
49983,1344,21.0,1717,5.0
49984,1224,12.0,1419,7.0
49985,1635,13.0,1858,16.0
49986,1230,11.0,1416,9.0
49987,1457,10.0,1715,11.0
49988,1935,29.0,2301,8.0
49989,1813,23.0,2128,12.0
49990,844,17.0,1020,9.0
49991,618,15.0,1109,10.0
49992,949,9.0,1021,4.0
49993,802,10.0,840,2.0
49994,904,4.0,940,4.0
49995,1010,6.0,1048,3.0
49996,1112,4.0,1148,3.0
49997,1101,10.0,1135,0.0
49998,1201,10.0,1233,6.0
49999,1226,18.0,1304,2.0
50000,1328,2.0,1404,4.0
50001,1444,11.0,1514,3.0
50002,1540,7.0,1608,6.0
50003,1318,10.0,1352,0.0
50004,1418,5.0,1450,11.0
50005,1520,13.0,1554,0.0
50006,1620,4.0,1652,2.0
50007,1722,11.0,1752,0.0
50008,1818,3.0,1846,4.0
50009,1638,15.0,1716,1.0
50010,1740,3.0,1816,3.0
50011,1846,11.0,1920,0.0
50012,1946,2.0,2018,5.0
50013,1531,20.0,1626,3.0
50014,1710,12.0,1815,5.0
50015,2332,12.0,30,3.0
50016,940,10.0,1126,6.0
50017,630,13.0,746,4.0
50018,600,11.0,750,7.0
50019,630,13.0,852,11.0
50020,1054,22.0,1150,2.0
50021,1235,15.0,1339,5.0
50022,2035,14.0,2245,2.0
50023,1930,9.0,2135,4.0
50024,1245,11.0,1455,3.0
50025,1550,12.0,1800,4.0
50026,700,17.0,905,5.0
50027,1430,30.0,1640,3.0
50028,1035,12.0,1250,4.0
50029,1925,12.0,2135,4.0
50030,1435,19.0,1650,4.0
50031,2010,10.0,2155,2.0
50032,1315,17.0,1510,5.0
50033,935,19.0,1130,3.0
50034,1720,10.0,1910,5.0
50035,725,14.0,915,5.0
50036,1835,11.0,2045,7.0
50037,1220,12.0,1435,8.0
50038,1435,24.0,1650,7.0
50039,955,10.0,1200,6.0
50040,1720,13.0,1930,4.0
50041,1930,14.0,2040,4.0
50042,1100,19.0,1205,5.0
50043,1735,13.0,1840,3.0
50044,925,12.0,1035,4.0
50045,655,11.0,805,3.0
50046,1020,16.0,1300,7.0
50047,750,11.0,925,6.0
50048,1715,14.0,1850,6.0
50049,1915,8.0,2050,5.0
50050,1245,17.0,1420,6.0
50051,1625,13.0,1855,5.0
50052,2110,20.0,2340,6.0
50053,1020,12.0,1126,12.0
50054,1220,9.0,1517,10.0
50055,1640,38.0,2004,8.0
50056,925,18.0,1100,7.0
50057,635,17.0,855,8.0
50058,730,18.0,850,3.0
50059,1955,28.0,2137,4.0
50060,1825,21.0,1930,4.0
50061,955,30.0,1115,6.0
50062,1420,16.0,1529,2.0
50063,1540,16.0,1705,5.0
50064,1100,15.0,1253,5.0
50065,1220,18.0,1334,6.0
50066,935,18.0,1101,5.0
50067,716,13.0,826,8.0
50068,600,25.0,725,8.0
50069,1450,21.0,1625,8.0
50070,1606,22.0,1802,6.0
50071,805,32.0,903,13.0
50072,1405,13.0,1705,19.0
50073,1400,17.0,1700,10.0
50074,1435,30.0,1742,4.0
50075,1400,18.0,1712,5.0
50076,1635,15.0,1804,5.0
50077,1230,24.0,1422,5.0
50078,1215,23.0,1400,10.0
50079,640,10.0,852,8.0
50080,1900,17.0,2052,10.0
50081,745,17.0,850,3.0
50082,1220,13.0,1318,15.0
50083,815,14.0,959,5.0
50084,1535,13.0,1641,3.0
50085,1730,11.0,1845,13.0
50086,1030,8.0,1135,5.0
50087,1730,15.0,1849,4.0
50088,825,24.0,1017,6.0
50089,1945,22.0,2102,3.0
50090,1030,10.0,1147,5.0
50091,1240,10.0,1400,6.0
50092,1535,11.0,1625,5.0
50093,1010,11.0,1205,13.0
50094,1543,15.0,1749,38.0
50095,1405,23.0,1617,3.0
50096,1155,37.0,1420,11.0
50097,840,13.0,1128,7.0
50098,1730,38.0,1859,5.0
50099,610,12.0,815,47.0
50100,1110,15.0,1314,24.0
50101,805,31.0,1017,6.0
50102,1300,22.0,1411,3.0
50103,945,15.0,1056,7.0
50104,1808,22.0,1925,5.0
50105,1930,21.0,2040,3.0
50106,1250,24.0,1444,3.0
50107,600,20.0,815,10.0
50108,1215,22.0,1316,4.0
50109,815,,1005,
50110,640,16.0,725,6.0
50111,810,16.0,905,33.0
50112,705,42.0,905,35.0
50113,1500,13.0,1645,5.0
50114,2215,16.0,2320,3.0
50115,1735,12.0,1925,4.0
50116,905,15.0,950,4.0
50117,1650,10.0,1925,3.0
50118,2300,8.0,2355,8.0
50119,1450,11.0,1535,4.0
50120,1830,9.0,1930,3.0
50121,2055,13.0,2155,4.0
50122,730,26.0,850,9.0
50123,2100,21.0,2155,13.0
50124,2015,6.0,2115,10.0
50125,2015,9.0,2105,6.0
50126,545,35.0,700,27.0
50127,2315,,15,
50128,600,,645,
50129,545,26.0,700,30.0
50130,755,23.0,900,4.0
50131,945,7.0,1100,38.0
50132,745,32.0,900,9.0
50133,530,16.0,620,5.0
50134,2315,10.0,15,2.0
50135,1200,23.0,1240,3.0
50136,640,9.0,855,3.0
50137,1205,8.0,1350,4.0
50138,630,43.0,725,11.0
50139,1445,13.0,1545,5.0
50140,1630,20.0,1800,8.0
50141,600,24.0,728,9.0
50142,840,26.0,1005,5.0
50143,1000,20.0,1136,9.0
50144,1235,38.0,1352,6.0
50145,1100,13.0,1150,6.0
50146,830,16.0,1201,6.0
50147,720,16.0,859,9.0
50148,1005,31.0,1155,2.0
50149,555,18.0,729,8.0
